,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
131,-116.62282251909384,-147.0972813188982,-3027.9544727529606,-56.429752343092446,-28.936510181141003,-208.76993439777118,132735
132,-896.8976497582969,-554.4488597407978,-1446.4269994619947,-1009.9010375001723,-202.2181814706193,-2957.336459144328,133739
133,-56.441427569722876,-2995.637431329298,-63.11243482591284,-3016.5015179015018,-574.2435647473025,-3025.6012331124994,134745
134,-3117.350996582778,-3047.6378611794607,-3030.4831150604655,-3070.942264266007,-2995.0167037173246,-3018.927485377335,135746
135,-39.19306516839397,-78.99780972347905,-3010.8941549838773,-3007.3920123495104,-84.52630252553217,-3008.49951095278,136747
136,-26.81585445478406,-38.76172737163107,-34.64600943757062,-33.03002165256131,-31.364184010723868,-3001.2922253716943,137748
137,-2963.02426556035,-1273.538086182992,-103.2367345137415,-2974.129619934958,-41.487339608825685,-756.0719361074038,138762
138,-117.06339375908163,-241.24095922828732,-37.99198137239343,-3014.6265070259988,-3035.863556198894,-144.9767401545604,139765
139,-84.10217261035373,-429.52019391737025,-130.59012203405996,-42.047713587124754,-175.96937541097827,-341.52304921362935,140767
140,-2998.1289186787358,-80.72610270120035,-3033.4792476930465,-128.16166344337358,-2979.1642447440627,-127.26843614804616,141771
141,-243.6630440777991,-189.8012542144536,-651.3140423103799,-214.83725871765324,-2962.3354934339454,-2957.881088000833,142772
142,-369.3993440977856,-173.72343781669713,-826.7183898691678,-341.466676118723,-222.5291550874839,-38.70112253321493,143774
143,-130.7089976228668,-2983.737413850535,-45.43162927281974,-61.21709249859572,-32.62027429355912,-34.53899619653492,144778
144,-173.9995618681505,-97.35824349109924,-103.41242569502015,-2996.2953297731387,-68.19568176903427,-59.77724041300718,145781
145,-100.61031814386806,-47.531158078958946,-108.46929413303162,-2951.552529225223,-236.23440666113308,-78.1912535687153,146787
146,-3034.8322312360733,-67.04894585020202,-76.6329880479794,-3047.7060418954497,-1919.1187772423475,-63.892125109754204,147792
147,-335.2450775245174,-143.36035682073899,-61.53932108982288,-2988.3425177813283,-196.1176594675265,-85.07859528210949,148793
148,-2950.6218867454813,-3005.588382916257,-3057.57146694022,-2996.4219463068466,-2994.991858489105,-3015.2973575606266,149805
149,-2988.439655671784,-2964.5839232690064,-3011.8228577067803,-2999.069611370587,-2984.986399576344,-2976.1949201594393,150806
150,-2954.9499393617302,-237.93309303221696,-2974.59271505063,-2965.1075339975687,-77.88971808823455,-59.88243781955584,151807
151,-341.9692261507466,-97.83290920883323,-3005.235321395385,-89.65482325975607,-52.552670071369725,-177.87793121896243,152808
152,-2835.9447781745826,-3010.623193834921,-251.62326961219654,-2859.6272836668504,-2985.596141252872,-2977.625197621433,153809
153,-191.62871262250087,-31.40550467427767,-76.73154247736726,-92.81240398739556,-31.574807135181178,-30.973169008157804,154810
154,-82.96254991959646,-51.639471158628396,-211.39434694374134,-28.291170809054822,-28.740852547046327,-45.20038098276636,155817
155,-69.4654709159947,-49.0474272374609,-159.5135761703266,-50.23392806716117,-83.08493929560065,-3052.264997065531,156818
156,-150.21198844235604,-49.7498749317271,-299.15533419939294,-89.91890531039576,-3021.467665912152,-136.49344608456664,157820
157,-3010.465305933515,-3001.853364611564,-3015.0476853825976,-3017.977983297124,-3014.644594076982,-276.7540965111786,158823
158,-2997.5595616711003,-3004.1807202381506,-2995.635312231081,-3000.080007418551,-3000.5529231097257,-3003.7487941424315,159824
159,-2989.883710090422,-2986.0953315871498,-2990.5940151627797,-2999.810505492165,-3015.1574811745927,-3013.311735238895,160825
160,-205.22364060636588,-92.34172945860668,-339.0035486687776,-127.277848050192,-72.40346291634714,-124.3086185329732,161826
161,-64.51578146930463,-35.91376595520222,-93.8061909147368,-74.5202577868665,-36.78764688537016,-49.85155374366205,162835
162,-500.0601499788262,-132.06038778477114,-2947.463333902333,-2983.07781554514,-404.1968124274879,-576.8053670439082,163849
163,-984.5894067829662,-164.12010528928997,-32.24038921844946,-3003.3958955521084,-139.7661543259101,-178.59981644461038,164853
164,-2997.886126564474,-3016.8333076916915,-2974.130884183356,-2960.3083626518396,-323.1915565794536,-905.1918100605511,165860
165,-655.8810464163237,-2989.9529081959445,-3085.735038325969,-121.45125448262066,-158.9288723022452,-135.80922451091095,166862
166,-94.08261241307784,-161.9339525326705,-2979.6426177791536,-64.0498485961046,-159.20527692508293,-82.83872213703019,167863
167,-3004.862721412778,-3000.629505292823,-3018.2287794609947,-3016.687704350782,-2996.371155351367,-3000.9468458036567,168865
168,-2999.888413980101,-68.66711923536126,-2998.7012099231647,-2994.4697389779944,-2969.797996267226,-30.966022324191854,169866
169,-2981.9211877364523,-108.27915759483818,-3004.558072362013,-240.35547636480226,-48.650736999726185,-2970.6594810556808,170867
170,-208.7227477112237,-66.30069379279739,-2977.0593794305382,-2948.2376182282433,-64.97320405286082,-2966.9506985999624,171868
171,-2981.1059560995204,-287.7191111460897,-2998.650432664536,-2944.5617489232072,-708.2910142641758,-2934.272527018907,172869
172,-46.52201508260225,-188.6174058520405,-137.02193347514373,-3033.6449070222066,-51.438320849034,-386.43930641607085,173870
173,-2985.4669415826584,-3015.2288937085036,-2996.939447437912,-3019.4684342422383,-3020.9707361421765,-2990.583400269929,174871
174,-97.73917111549412,-3000.673936848652,-85.01668167422119,-96.33666518457696,-3003.1383212443034,-3005.365290940677,175872
