,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
136,-587.4469937557179,-593.8008060307255,-594.3125531841425,-594.4367229152492,-588.827817208983,-588.6497564568114,137000
137,-593.9396780083281,-597.6664594093967,-590.3975578928408,-587.7640960217777,-595.7254254498283,-587.6567026320815,138000
138,-591.4101881440661,-601.6129980105147,-596.1787373471822,-588.2308391100414,-594.8055540728637,-598.3793823727649,139000
139,-595.395886787001,-591.0618061548724,-594.3621388969018,-590.4320881315515,-593.5781825040702,-598.5611626059524,140000
140,-590.6531877541692,-596.71305592743,-597.2096721484689,-593.5060377483645,-593.5372434286951,-589.8209143287372,141000
141,-594.4950576834852,-589.8136324599872,-595.9357541143653,-594.0545750675512,-587.9183690419953,-592.5385238050243,142000
142,-588.7498751070659,-593.5864711365889,-589.9507122848696,-588.834998588033,-593.4717707349051,-590.1084473414063,143000
143,-588.1443703788502,-594.4599327572456,-589.3542477960627,-587.8477114564023,-599.2879536445114,-595.6062669017073,144000
144,-587.8935306391668,-595.3985174710396,-593.2721784390991,-596.0608872866305,-588.6055811077974,-588.7838435523465,145000
145,-593.9508775057963,-594.8746850933297,-590.0731439703112,-593.0950608736299,-590.2905252793914,-594.9865469226713,146000
146,-594.0643679300695,-589.9041499556564,-599.0798417742244,-594.5275266883648,-595.518874283119,-588.8715273906826,147000
147,-598.0811799178032,-589.0466877279306,-595.3312836101728,-592.478583253653,-597.2087263095414,-593.4065605047421,148000
148,-593.9104137181604,-595.7452171510193,-587.8172699770303,-592.5224351345066,-589.7081559510278,-598.5307953484305,149000
149,-596.4679907672395,-594.7188903375794,-590.6838973094211,-593.7803609821771,-593.760062501288,-590.3308700736437,150000
150,-596.350527100879,-588.7054014902146,-594.6575388955513,-594.9828142105212,-597.4042838113052,-593.3095104927622,151000
151,-590.3328733355725,-589.5277417020297,-594.3086892318089,-595.1612417169595,-598.4181708648968,-589.1477304352263,152000
152,-593.2456146075702,-588.8117840968196,-598.6680836542528,-588.6705857269795,-595.6406900809968,-598.2981157579396,153000
153,-588.5657688272647,-590.744283788782,-589.3303815165244,-593.7696024487254,-590.2503461643053,-589.6189981947647,154000
154,-599.3421309127103,-595.488273171646,-590.2086107889625,-590.7569503995383,-597.726198681726,-598.7802476899794,155000
155,-599.0965985339858,-590.2107653825967,-589.4966448858316,-588.2954847647015,-594.4498973706553,-590.9759652281851,156000
156,-594.9432683142134,-594.2613961121614,-592.8545807862271,-593.5100809576353,-597.3645811612043,-593.7440562661172,157000
157,-595.913293830722,-589.518122564557,-588.1785273762786,-597.7831212654376,-594.9007629230773,-589.177318340843,158000
158,-588.574530122256,-594.6415723190815,-595.1184757480852,-595.8706722201838,-593.9588475513747,-593.4704032078996,159000
159,-595.1625547707918,-595.0262360964485,-590.3307794798537,-587.9736095887588,-592.9894502784252,-592.9563928784615,160000
160,-595.6067289981291,-593.6156522893989,-593.8507212650571,-594.5812012530854,-590.4187987588848,-592.7227550781085,161000
161,-594.2557255536677,-593.924623606334,-594.7856886784552,-593.8962593923234,-589.0596853317645,-600.9655388299605,162000
162,-589.2783385405162,-594.9124600574386,-589.773244615597,-589.7174621955807,-598.2057980664388,-595.4650120690816,163000
163,-594.0885633145217,-588.1849087914699,-589.5450496224001,-588.7010435432577,-594.5222639795338,-589.145530045928,164000
164,-589.1516264727219,-588.7411754218499,-597.2505306869596,-599.0765463484734,-593.8752922233933,-593.4706116269532,165000
165,-594.8529247923269,-594.4740986782846,-601.090736617457,-594.1784298970573,-593.797029706653,-590.323470496532,166000
166,-589.814828955937,-588.7782908741998,-589.0409354624344,-596.4849464666116,-591.2132123393006,-589.1657237726527,167000
167,-593.5414547655923,-588.6955505040013,-594.6099788805059,-595.9976896228228,-594.5264237323532,-595.2114880060623,168000
